Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,valid_record,days_borrowed,book_description
1.0,Catcher in the Rye,20/02/2023,25/02/2023,2 weeks,1.0,True,5,"**Holden Caulfield, a cynical, disillusioned teen, narrates his experiences after being expelled. He wanders New York City, criticizing adult ""phoniness"" while grappling with loss and alienation. His desire to protect childhood innocence (""catcher in the rye"") clashes with his inevitable"
2.0,Lord of the rings the two towers,24/03/2023,21/03/2023,2 weeks,2.0,True,-3,"Here's a concise description (under 60 words):

The Fellowship is fractured. Frodo and Sam journey towards Mordor with the treacherous Gollum as their guide. Meanwhile, Aragorn, Legolas, and Gimli race to rescue captured hobbits Merry and Pippin, joining the"
3.0,Lord of the rings the return of the kind,29/03/2023,25/03/2023,2 weeks,3.0,True,-4,"**Climactic finale: Frodo's quest to destroy the Ring culminates at Mount Doom, while Aragorn leads forces against Sauron at Minas Tirith, leading to the Dark Lord's defeat, Aragorn's coronation, and a bittersweet ending.**"
4.0,The hobbit,02/04/2023,25/03/2023,2 weeks,4.0,True,-8,"A hobbit, Bilbo Baggins, embarks on an unexpected quest with dwarves to reclaim treasure from a dragon. Along the way, he encounters magical creatures, survives perilous challenges, and discovers a mysterious ring. J.R.R. Tolkien’s classic fantasy blends adventure, courage,"
5.0,Dune,02/04/2023,25/03/2023,2 weeks,5.0,True,-8,"**Concise Description (under 60 words):**  

On the desert planet Arrakis, young Paul Atreides inherits a deadly feud over ""spice,"" the universe's most vital resource. Betrayed, he must survive harsh sands, giant worms, and enemies to lead"
6.0,Little Women,02/04/2023,01/05/2023,2 weeks,1.0,True,29,"*Little Women* follows the four March sisters—Meg, Jo, Beth, and Amy—as they navigate adolescence and young womanhood in Civil War-era New England. The novel explores their dreams, struggles, family bonds, societal expectations, and personal growth through love, loss, and finding their"
7.0,IT,10/04/2063,03/04/2023,2 weeks,6.0,True,-14617,"Here's a concise description for Stephen King's *IT*:

A shapeshifting evil entity terrorizes Derry, Maine, preying on children. Seven outcast kids, the ""Losers' Club,"" confront it as children, facing their deepest fears embodied by ""Pennywise the"
8.0,Misery,15/04/2023,03/04/2023,2 weeks,7.0,True,-12,"**Concise description:**  
A famous author is held captive by his obsessive ""number one fan"" after a car accident; she forces him to write a novel resurrecting her favorite character."
9.0,Catch 22,15/04/2023,16/04/2023,2 weeks,7.0,True,1,"**Catch-22** is a satirical WWII novel by Joseph Heller. It follows bombardier Yossarian's desperate attempts to avoid combat missions, trapped by the absurd, circular logic of ""Catch-22"": if you're sane enough to want to avoid flying deadly missions, you"
10.0,Animal Farm,20/04/2023,24/04/2023,2 weeks,2.0,True,4,"George Orwell's 1945 allegorical novella where farm animals overthrow humans, only to have power-hungry pigs establish a brutal dictatorship mirroring Stalinist Russia. A timeless critique of totalitarianism and corrupted ideals."
11.0,1984,23/04/2023,27/04/2023,2 weeks,8.0,True,4,"George Orwell's *1984* is a seminal dystopian novel depicting a terrifying totalitarian future. Under constant surveillance by the omnipresent Big Brother, citizen Winston Smith rebels against the oppressive Party, which controls reality through propaganda, Newspeak, and thought police. The novel explores themes of government"
12.0,Little Women,02/04/2023,01/05/2023,2 weeks,1.0,True,29,
13.0,East of Eden,30/04/2023,05/05/2023,2 weeks,2.0,True,5,
14.0,America Is in the Heart,01/05/2023,07/05/2023,2 weeks,3.0,True,6,
15.0,Wuthering Heights,01/05/2023,10/05/2023,2 weeks,9.0,True,9,
16.0,Dark Tales,15/05/2023,01/06/2023,2 weeks,2.0,True,17,
18.0,Les Miserables,03/06/2023,07/06/2023,2 weeks,5.0,True,4,
19.0,Dracula,10/06/2023,10/07/2023,2 weeks,10.0,True,30,
20.0,Frankenstein,01/06/2023,20/06/2023,2 weeks,2.0,True,19,
